,EXPERIMENT,SEED,RAM,TERM,HAM_LOS,PREC,REC,F1
0,20211214005314.0,4.0,5.0,5.0,0.16666666666666666,0.5,0.5,0.5
1,20211214005314.0,3.0,5.0,5.0,0.4166666666666667,0.0,0.0,0.0
2,20211214005314.0,2.0,5.0,5.0,0.2916666666666667,0.0,0.0,0.0
3,20211214005314.0,1.0,5.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
4,20211214005314.0,0.0,5.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
5,20211214005314.0,4.0,5.0,4.0,0.16666666666666666,0.5,0.5,0.5
6,20211214005314.0,3.0,5.0,4.0,0.4166666666666667,0.0,0.0,0.0
7,20211214005314.0,2.0,5.0,4.0,0.25,0.0,0.0,0.0
8,20211214005314.0,1.0,5.0,4.0,0.20833333333333334,0.0,0.0,0.0
9,20211214005314.0,0.0,5.0,4.0,0.20833333333333334,0.5,0.4,0.4444444444444445
10,20211214005314.0,4.0,5.0,3.0,0.16666666666666666,0.5,0.5,0.5
11,20211214005314.0,3.0,5.0,3.0,0.4166666666666667,0.0,0.0,0.0
12,20211214005314.0,2.0,5.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
13,20211214005314.0,1.0,5.0,3.0,0.25,0.3333333333333333,0.2,0.25
14,20211214005314.0,0.0,5.0,3.0,0.16666666666666666,1.0,0.2,0.33333333333333337
15,20211214005314.0,4.0,4.0,5.0,0.2916666666666667,0.2,0.25,0.22222222222222224
16,20211214005314.0,3.0,4.0,5.0,0.4166666666666667,0.0,0.0,0.0
17,20211214005314.0,2.0,4.0,5.0,0.25,0.3333333333333333,0.2,0.25
18,20211214005314.0,1.0,4.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
19,20211214005314.0,0.0,4.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
20,20211214005314.0,4.0,4.0,4.0,0.16666666666666666,0.5,0.5,0.5
21,20211214005314.0,3.0,4.0,4.0,0.4166666666666667,0.0,0.0,0.0
22,20211214005314.0,2.0,4.0,4.0,0.3333333333333333,0.0,0.0,0.0
23,20211214005314.0,1.0,4.0,4.0,0.25,0.3333333333333333,0.2,0.25
24,20211214005314.0,0.0,4.0,4.0,0.16666666666666666,0.6666666666666666,0.4,0.5
25,20211214005314.0,4.0,4.0,3.0,0.16666666666666666,0.5,0.75,0.6
26,20211214005314.0,3.0,4.0,3.0,0.4166666666666667,0.0,0.0,0.0
27,20211214005314.0,2.0,4.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
28,20211214005314.0,1.0,4.0,3.0,0.20833333333333334,0.0,0.0,0.0
29,20211214005314.0,0.0,4.0,3.0,0.16666666666666666,1.0,0.2,0.33333333333333337
30,20211214005314.0,4.0,3.0,5.0,0.25,0.25,0.25,0.25
31,20211214005314.0,3.0,3.0,5.0,0.4166666666666667,0.0,0.0,0.0
32,20211214005314.0,2.0,3.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
33,20211214005314.0,1.0,3.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
34,20211214005314.0,0.0,3.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
35,20211214005314.0,4.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0
36,20211214005314.0,3.0,3.0,4.0,0.4166666666666667,0.0,0.0,0.0
37,20211214005314.0,2.0,3.0,4.0,0.25,0.3333333333333333,0.2,0.25
38,20211214005314.0,1.0,3.0,4.0,0.20833333333333334,0.5,0.2,0.28571428571428575
39,20211214005314.0,0.0,3.0,4.0,0.25,0.0,0.0,0.0
40,20211214005314.0,4.0,3.0,3.0,0.25,0.25,0.25,0.25
41,20211214005314.0,3.0,3.0,3.0,0.4166666666666667,0.0,0.0,0.0
42,20211214005314.0,2.0,3.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
43,20211214005314.0,1.0,3.0,3.0,0.20833333333333334,0.0,0.0,0.0
44,20211214005314.0,0.0,3.0,3.0,0.20833333333333334,0.0,0.0,0.0
